,id,r,cx,cz,c,contrast,cnr,snr,gcnr
47,256,0.003,0.01,0.055,1550.0,-41.32650852203369,-1.6233044862747192,1.6373591423034668,1.0
48,265,0.006,0.006,0.07,1540.0,-44.415507316589355,-1.5614075660705566,1.5708560943603516,0.999287072208719
49,272,0.006,-0.002,0.0675,1600.0,-51.10396862030029,-1.692403793334961,1.6971300840377808,1.0
50,277,0.006,-0.014,0.04,1470.0,-43.77028465270996,-1.539436936378479,1.5494753122329712,0.9996737356992925
51,286,0.002,0.004,0.0675,1430.0,-39.02948617935181,-1.3610337972640991,1.3764265775680542,1.0
52,289,0.004,0.008,0.045,1570.0,-45.19199848175049,-1.560239553451538,1.5688691139221191,0.9986746190554899
53,291,0.002,0.006,0.045,1530.0,-45.06206512451172,-1.5957399606704712,1.604699969291687,1.0
54,292,0.006,0.002,0.06,1510.0,-48.66691589355469,-1.5698539018630981,1.5756632089614868,1.0
55,298,0.008,-0.012,0.0575,1420.0,-45.63300609588623,-1.6280707120895386,1.636628270149231,0.999674955317894
56,299,0.006,-0.006,0.0425,1460.0,-52.360029220581055,-1.8083332777023315,1.812701940536499,1.0
57,303,0.008,-0.014,0.07,1450.0,-51.79840087890625,-1.9322402477264404,1.9372225999832153,0.9995349697289899
58,306,0.004,-0.008,0.07,1500.0,-42.448368072509766,-1.4184626340866089,1.4292442798614502,1.0
59,316,0.003,-0.016,0.0675,1420.0,-40.492095947265625,-1.4346168041229248,1.4483022689819336,1.0
60,324,0.008,0.016,0.065,1450.0,-40.064048767089844,-1.6306450366973877,1.6469942331314087,0.9989866234036736
61,325,0.002,0.014,0.07,1570.0,-1.6684652864933014,-0.290995717048645,2.1009745597839355,0.5384150380798706
62,326,0.002,0.006,0.0525,1560.0,-43.42318058013916,-1.697952389717102,1.7094793319702148,1.0
63,333,0.002,-0.014,0.0525,1530.0,-42.07815170288086,-1.5501502752304077,1.5624501705169678,1.0
64,339,0.004,0.016,0.0425,1510.0,-43.8533353805542,-1.3529918193817139,1.3617302179336548,0.9990592660720667
65,350,0.002,-0.008,0.065,1600.0,-26.646978855133057,-1.1686519384384155,1.2465091943740845,0.7885792043632108
66,351,0.002,0.016,0.0675,1530.0,-46.023759841918945,-1.8647313117980957,1.8740994930267334,1.0
67,361,0.006,0.016,0.0475,1530.0,-44.83931541442871,-1.5493546724319458,1.5582813024520874,0.9988632057579883
68,362,0.003,0.004,0.065,1590.0,-37.50221014022827,-1.6242344379425049,1.646181583404541,1.0
69,364,0.004,-0.008,0.0675,1460.0,-47.87869453430176,-1.70171058177948,1.7086083889007568,1.0
70,365,0.004,-0.006,0.05,1600.0,-50.26710510253906,-1.6567870378494263,1.6618833541870117,1.0
71,371,0.003,-0.002,0.05,1550.0,-35.09402275085449,-1.55903959274292,1.5869574546813965,1.0
72,372,0.003,0.004,0.065,1490.0,-51.3446044921875,-1.6999956369400024,1.7046129703521729,0.9984848485341864
73,377,0.006,-0.014,0.0525,1550.0,-44.27574157714844,-1.4788548946380615,1.4879499673843384,0.9986966437586975
74,379,0.004,-0.004,0.0425,1560.0,-52.213778495788574,-1.8095768690109253,1.8140227794647217,1.0
75,383,0.008,0.01,0.055,1430.0,-36.99868440628052,-1.6567587852478027,1.6805003881454468,0.9997198879547251
76,384,0.003,-0.014,0.0525,1540.0,-43.113956451416016,-1.574251413345337,1.585328459739685,1.0
77,385,0.004,-0.016,0.0675,1590.0,-50.49099922180176,-1.4842437505722046,1.4886927604675293,1.0
78,389,0.002,0.004,0.0675,1420.0,-16.269477605819702,-0.9281423687934875,1.177596092224121,0.6783625167324756
79,390,0.002,-0.008,0.0525,1590.0,-42.26580619812012,-0.9463025331497192,0.9536494016647339,0.8083831993731017
80,394,0.004,0.004,0.0475,1440.0,-41.73027992248535,-1.5571082830429077,1.5699725151062012,1.0
81,398,0.002,-0.004,0.05,1470.0,-29.637863636016846,-1.6003649234771729,1.6549309492111206,1.0
82,400,0.003,0.014,0.0475,1480.0,-48.58515739440918,-1.5734623670578003,1.5793402194976807,0.9984848486285723
83,415,0.002,0.002,0.0425,1420.0,-0.02127530751749873,-0.003083329414948821,1.6938598155975342,0.5146199871100079
84,420,0.008,0.0,0.0675,1590.0,-48.225979804992676,-1.6486539840698242,1.6550737619400024,0.9998779892496622
85,429,0.006,-0.016,0.07,1460.0,-47.74695873260498,-1.5059207677841187,1.5121185779571533,0.9996216420698513
86,436,0.006,0.006,0.0475,1530.0,-50.59753894805908,-1.6182539463043213,1.6230453252792358,0.9995256167413057
87,438,0.002,-0.004,0.04,1540.0,-43.85781764984131,-1.3131438493728638,1.3216204643249512,1.0
88,442,0.002,0.008,0.0575,1550.0,-3.229176700115204,-0.4493900239467621,1.844814658164978,0.5013286059622785
89,444,0.004,0.006,0.0475,1550.0,-43.06771278381348,-1.5303452014923096,1.5411710739135742,1.0
90,447,0.003,-0.002,0.0425,1420.0,-52.896385192871094,-1.8003039360046387,1.8043920993804932,0.9984871408221337
91,450,0.002,0.012,0.0425,1520.0,-35.71943998336792,-1.5673578977584839,1.5934423208236694,1.0
92,451,0.002,0.006,0.07,1560.0,-15.316258668899536,-0.9250553250312805,1.11660635471344,0.6626584378921576
93,460,0.008,-0.014,0.05,1570.0,-45.42923927307129,-2.0442776679992676,2.0620925426483154,0.9915958991676811
94,463,0.002,0.004,0.07,1520.0,-50.43561935424805,-1.0843374729156494,1.0876085758209229,0.7701149529383146
95,464,0.003,0.006,0.0525,1480.0,-42.75868892669678,-1.3647927045822144,1.3747997283935547,0.9941860462570029
96,469,0.004,-0.01,0.055,1480.0,-38.9703369140625,-1.4898146390914917,1.5067789554595947,1.0
97,476,0.006,0.01,0.0675,1440.0,-53.00657272338867,-1.8786380290985107,1.882850170135498,1.0
98,477,0.003,0.006,0.06,1460.0,-44.0626859664917,-1.4879058599472046,1.49728524684906,1.0
99,483,0.006,-0.014,0.0475,1530.0,-40.333242416381836,-1.6339143514633179,1.6497914791107178,0.999673309359574
100,488,0.008,-0.008,0.04,1440.0,-41.097025871276855,-1.4971065521240234,1.5104188919067383,0.9992137334739113
101,494,0.003,0.016,0.0475,1600.0,-37.7948260307312,-1.7739722728729248,1.7971382141113281,1.0
102,500,0.006,0.014,0.045,1530.0,-42.879066467285156,-1.5554118156433105,1.5666583776474,1.0
103,501,0.004,0.006,0.0425,1510.0,-46.75305366516113,-1.4491255283355713,1.4558161497116089,0.9993224932211567
104,517,0.008,0.004,0.0475,1590.0,-45.198917388916016,-1.5397700071334839,1.5482795238494873,0.9998780041513834
105,518,0.008,0.012,0.0525,1450.0,-48.262505531311035,-1.5433354377746582,1.5493199825286865,0.9998374776392223
106,522,0.002,0.002,0.05,1450.0,-38.405518531799316,-1.3085194826126099,1.3244332075119019,0.9940119761005586
107,525,0.008,-0.014,0.04,1510.0,-46.91786766052246,-1.5230530500411987,1.529952049255371,0.9993955269231245
108,526,0.004,0.012,0.07,1540.0,-47.47265338897705,-1.1100572347640991,1.114773154258728,0.7828146261298956
109,535,0.002,0.012,0.0525,1560.0,-50.46290874481201,-1.5767773389816284,1.5815191268920898,1.0
110,540,0.003,0.006,0.06,1490.0,-46.92825794219971,-1.2728383541107178,1.278597116470337,0.8869565169897188
111,548,0.004,-0.012,0.055,1420.0,-50.0394344329834,-1.53472900390625,1.5395755767822266,0.9993224932289945
112,552,0.004,-0.002,0.0475,1490.0,-36.28995656967163,-1.5349693298339844,1.5588651895523071,0.9986763733137831
113,556,0.003,-0.006,0.055,1560.0,-41.56373977661133,-1.5594217777252197,1.572556734085083,1.0
114,559,0.003,0.004,0.06,1540.0,-52.36332416534424,-1.7977244853973389,1.8020656108856201,1.0
