id,r,cx,cz,c,contrast,cnr,snr,gcnr
540,0.003,0.006,0.06,1490.0,-0.3632797300815582,-0.2682431936264038,8.709362030029297,0.3005326803646689
548,0.004,-0.012,0.055,1420.0,-3.9753827452659607,-0.9630880951881408,2.967381000518799,0.5777659414227052
552,0.004,-0.002,0.0475,1490.0,-4.907255172729492,-2.2859718799591064,7.544724941253662,0.8965305118700955
556,0.003,-0.006,0.055,1560.0,-0.1626968942582607,-0.1101433038711547,8.198586463928223,0.2629393006789541
559,0.003,0.004,0.06,1540.0,-0.3247189149260521,-0.2617917656898498,9.98344898223877,0.3129674540200482
565,0.004,0.01,0.0525,1430.0,-6.359516382217407,-3.947950601577759,8.601408958435059,0.9933870888433114
572,0.008,0.008,0.05,1460.0,-7.034392952919006,-4.562789916992188,8.73204517364502,0.998654503829425
573,0.004,-0.002,0.04,1460.0,-5.462859272956848,-3.2392423152923584,7.77528715133667,0.9854627393973444
596,0.008,-0.016,0.0525,1570.0,-6.673458814620972,-3.614675521850586,7.171429634094238,0.9863547202499938
606,0.003,0.004,0.0675,1420.0,-0.2374591492116451,-0.1610385030508041,8.143317222595215,0.2603662839314089
627,0.008,-0.014,0.045,1450.0,-6.441975831985474,-3.2887980937957764,6.634531021118164,0.975390769588642
629,0.008,-0.006,0.0425,1530.0,-6.948907971382141,-3.649538516998291,6.918749809265137,0.977295456375565
630,0.003,-0.01,0.065,1460.0,-0.4486196115612983,-0.3379754424095154,9.01166820526123,0.3390398627655662
634,0.006,0.004,0.05,1600.0,-5.649047493934631,-3.3651576042175293,7.983652114868164,0.9818257949905304
644,0.006,-0.008,0.0475,1540.0,-6.2467873096466064,-2.2436201572418213,4.472313404083252,0.8911327928842343
649,0.004,-0.008,0.04,1430.0,-3.837565779685974,-2.042635679244995,6.731118202209473,0.8767744817102391
653,0.008,-0.012,0.055,1580.0,-6.788881421089172,-3.355539560317993,6.635177612304688,0.9611920471324158
660,0.003,0.012,0.05,1480.0,-2.672823965549469,-0.8353610634803772,3.735762596130371,0.5612563802435033
661,0.008,0.008,0.0425,1520.0,-5.941742658615112,-3.682329893112183,8.163237571716309,0.9904648051875452
664,0.002,-0.008,0.06,1590.0,-0.1441957894712686,-0.0927330330014228,7.477592468261719,0.5503001425491784
665,0.002,-0.004,0.06,1510.0,0.1343954354524612,0.0998392328619957,9.274999618530272,0.5508269833950774
666,0.006,-0.004,0.0475,1480.0,-5.341483950614929,-2.98105525970459,7.77476167678833,0.9638585104168048
673,0.008,0.004,0.0575,1550.0,-6.578109860420227,-4.331159591674805,8.874282836914062,0.9976829704399944
677,0.006,-0.012,0.045,1490.0,-5.493514537811279,-1.7949423789978027,3.9220504760742183,0.8047508380161018
678,0.004,-0.006,0.0475,1500.0,-3.868314325809479,-1.5829671621322632,6.007010459899902,0.7906639003716276
679,0.002,-0.014,0.0675,1600.0,-0.2117753960192203,-0.1779415905475616,10.262296676635742,0.514619584766037
694,0.004,0.006,0.0625,1490.0,-1.1391884833574295,-0.4966205060482025,7.353292465209961,0.3277628788524589
696,0.002,0.006,0.0675,1440.0,-0.2882608585059643,-0.2395934909582138,9.22275161743164,0.5781730405533303
698,0.003,0.002,0.0575,1500.0,-0.2445689029991626,-0.202195793390274,9.874862670898438,0.284304809953023
703,0.006,0.01,0.0575,1440.0,-6.245530843734741,-3.5431249141693115,7.396208763122559,0.978221645942746
705,0.003,0.006,0.0475,1540.0,-5.040391683578491,-3.173262357711792,8.045948028564453,0.9912444552436876
707,0.004,0.002,0.0625,1430.0,-5.542837977409363,-3.5112452507019043,9.219818115234377,0.9681767492876396
709,0.008,-0.004,0.0425,1500.0,-6.317031383514404,-3.866372346878052,8.10457992553711,0.989760668139306
710,0.002,0.008,0.0625,1520.0,-0.349338985979557,-0.3210425674915313,10.98409366607666,0.5696137163604275
711,0.002,0.006,0.065,1570.0,-0.1405929028987884,-0.1212074160575866,10.274827003479004,0.5942525430394558
716,0.002,-0.012,0.0575,1540.0,-0.1917838118970394,-0.1595229059457779,10.066498756408691,0.5792686203267186
721,0.008,0.002,0.0675,1420.0,-6.696754097938538,-4.231966018676758,8.892029762268066,0.9884281362776122
727,0.004,0.014,0.055,1560.0,-5.766616463661194,-3.233259677886963,7.252388954162598,0.9682706160080982
729,0.002,0.01,0.0575,1490.0,-0.0721421651542186,-0.0576512590050697,9.613799095153809,0.5068214856663443
752,0.002,-0.008,0.05,1600.0,-0.1220993977040052,-0.0815132707357406,8.283750534057617,0.5683688079374237
753,0.002,-0.004,0.05,1440.0,-0.0367508083581924,-0.0251607690006494,8.151433944702148,0.5208867067171585
758,0.008,0.008,0.0425,1490.0,-5.898347496986389,-3.5666098594665527,7.952184677124023,0.99059730139166
773,0.003,0.006,0.0475,1530.0,-0.932346135377884,-0.2873733937740326,4.51642656326294,0.405246301383221
