id,r,cx,cz,c,contrast,cnr,snr,gcnr
450,0.002,0.012,0.0425,1520.0,-6.875285506248474,-0.9444305896759033,1.8800859451293945,0.6729207282962275
451,0.002,0.006,0.07,1560.0,-9.614059329032898,-1.1303331851959229,1.7530442476272583,0.7388968913120522
460,0.008,-0.014,0.05,1570.0,-9.793018102645874,-1.0460903644561768,1.6043941974639893,0.6536478297211483
463,0.002,0.004,0.07,1520.0,-6.139931678771973,-0.7382257580757141,1.6053266525268555,0.5564630854539422
464,0.003,0.006,0.0525,1480.0,-7.16189980506897,-0.8206450939178467,1.5401314496994019,0.5268765989046137
469,0.004,-0.01,0.055,1480.0,-7.846245169639587,-0.8980428576469421,1.5980615615844727,0.5332216100521112
476,0.006,0.01,0.0675,1440.0,-8.841496109962463,-0.9371236562728882,1.5349400043487549,0.5619507092588858
477,0.003,0.006,0.06,1460.0,-7.166956663131714,-0.8589333891868591,1.6253435611724854,0.5110479980996034
483,0.006,-0.014,0.0475,1530.0,-7.940473556518555,-0.905573844909668,1.5872923135757446,0.5422576345469254
488,0.008,-0.008,0.04,1440.0,-7.500594258308411,-0.8590927124023438,1.5735888481140137,0.5109406521117035
494,0.003,0.016,0.0475,1600.0,-7.467224597930908,-0.9015199542045593,1.6684545278549194,0.5574647628599649
500,0.006,0.014,0.045,1530.0,-8.006789088249207,-0.9622036218643188,1.6982061862945557,0.5658024155132184
501,0.004,0.006,0.0425,1510.0,-8.188604712486267,-0.9425764083862305,1.6246048212051392,0.575505761931607
517,0.008,0.004,0.0475,1590.0,-10.546157360076904,-1.1127490997314453,1.633068561553955,0.6812226808943395
518,0.008,0.012,0.0525,1450.0,-8.85576844215393,-0.9900785684585571,1.6192522048950195,0.5928885440066185
522,0.002,0.002,0.05,1450.0,-5.790189504623413,-0.7641264796257019,1.7297247648239136,0.6079604007066062
525,0.008,-0.014,0.04,1510.0,-7.479380369186401,-0.8595866560935974,1.5826143026351929,0.5060165049229439
526,0.004,0.012,0.07,1540.0,-10.008643865585327,-0.980972945690155,1.4767948389053345,0.6340899761371197
